Vieta;Data;Laikas;Dalyviu skaicius;Zuvusiuju skaicius;Suzeistuju skaicius;Dalyvavusiu transporto priemoniu skaicius;Apgadintu transporto priemoniu skaicius;Kelio reiksme;Dangos rusis;Dangos bukle;Paros metas;Meteorologines salygos;Kelio kreive;Atitvarai (1-yra, 0-nera);Sankryzos tipas;Tikslesnes vietos aplinkybes;Eismo ivykio dalyvio kategorija;Lytis;Gimimo data;Neigalumas (1 - taip, 0 - ne);Saugos dirzas;Vairuotojo kvalifikacija;Stazas;Blaivumas
Birzu r. sav.;2015-07-06;14:03:00;2;0;1;2;1;;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Horizontalus vingis;0;;;Mopedo vairuotojas;Vyras;1982-09-07;0;;Neturi teises vairuoti;0;Neblaivus
Birzu r. sav.;2015-08-05;16:51:00;3;0;1;3;3;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Dviracio vairuotojas;Vyras;2008-07-16;0;;;;Blaivus
Birzu r. sav.;2015-08-08;11:32:00;2;0;1;1;1;;zvyrkelis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1991-08-07;0;Neuzsegtas;Neturi teises vairuoti;;Neblaivus
Birzu r. sav.;2015-08-10;12:31:00;3;0;1;1;;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1996-02-06;0;Uzsegtas;Atitinka;1;Blaivus
Birzu r. sav.;2015-08-19;18:39:00;2;1;0;2;2;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Dviracio vairuotojas;Moteris;1953-10-03;0;;;;Neblaivus
Birzu r. sav.;2015-08-21;11:45:00;2;0;1;2;1;Rajoniniai keliai;zvyrkelis;Sausa;Diena;Giedra;Horizontalus vingis;0;;;Automobilio vairuotojas;Vyras;1992-04-02;0;Uzsegtas;Atitinka;5;Blaivus
Birzu r. sav.;2015-08-28;17:46:00;2;0;2;2;2;Krasto keliai;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Horizontalus vingis;0;;;Automobilio vairuotojas;Vyras;1969-02-28;0;Uzsegtas;Atitinka;22;Blaivus
Birzu r. sav.;2015-09-11;20:30:00;1;0;1;1;1;Rajoniniai keliai;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Giedra;Horizontalus vingis;0;;;Motociklo vairuotojas;Vyras;1998-01-30;0;;Neturi teises vairuoti;;Blaivus
Birzu r. sav.;2015-11-04;23:56:00;2;0;1;1;1;Rajoniniai keliai;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Horizontalus vingis;0;;;Automobilio vairuotojas;Moteris;1995-11-06;0;Uzsegtas;Atitinka;1;Blaivus
Birzu r. sav.;2015-11-08;18:09:00;1;0;1;1;1;Krasto keliai;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Horizontalus vingis;0;;;Automobilio vairuotojas;Vyras;1958-09-04;0;Neuzsegtas;Atitinka;19;Blaivus
